iter	Passed	Remaining
566	3062	2339
567	3069	2334
568	3074	2328
569	3080	2323
570	3086	2318
571	3091	2313
572	3097	2308
573	3104	2303
574	3110	2298
575	3116	2294
576	3122	2289
577	3128	2284
578	3134	2279
579	3140	2274
580	3147	2269
581	3152	2264
582	3158	2259
583	3165	2254
584	3169	2248
585	3176	2244
586	3181	2238
587	3187	2233
588	3194	2228
589	3199	2223
590	3204	2217
591	3210	2212
592	3216	2207
593	3221	2201
594	3227	2196
595	3232	2191
596	3238	2186
597	3243	2180
598	3248	2174
599	3254	2169
600	3259	2163
601	3263	2157
602	3268	2152
603	3274	2146
604	3278	2140
605	3284	2135
606	3290	2130
607	3294	2124
608	3300	2118
609	3305	2113
610	3310	2107
611	3314	2101
612	3319	2095
613	3324	2089
614	3329	2084
615	3334	2078
616	3340	2073
617	3344	2067
618	3348	2061
619	3354	2056
620	3360	2050
621	3367	2046
622	3373	2041
623	3379	2036
624	3386	2031
625	3392	2026
626	3397	2021
627	3402	2015
628	3406	2009
629	3412	2003
630	3417	1998
631	3423	1993
632	3429	1988
633	3435	1983
634	3442	1978
635	3446	1972
636	3452	1967
637	3459	1962
638	3464	1957
639	3470	1952
640	3477	1947
641	3483	1942
642	3489	1937
643	3495	1932
644	3500	1926
645	3507	1921
646	3512	1916
647	3518	1911
648	3521	1904
649	3527	1899
650	3533	1894
651	3538	1888
652	3543	1883
653	3549	1877
654	3552	1871
655	3557	1865
656	3561	1859
657	3566	1853
658	3571	1848
659	3576	1842
660	3581	1837
661	3587	1831
662	3591	1825
663	3594	1819
664	3599	1813
665	3604	1807
666	3610	1802
667	3615	1796
668	3621	1791
669	3627	1786
670	3632	1781
671	3637	1775
672	3642	1769
673	3647	1764
674	3652	1758
675	3658	1753
676	3663	1747
677	3668	1742
678	3672	1735
679	3675	1729
680	3679	1723
681	3684	1717
682	3688	1711
683	3693	1706
684	3698	1700
685	3703	1695
686	3707	1689
687	3713	1683
688	3719	1679
689	3723	1673
690	3727	1666
691	3733	1661
692	3738	1655
693	3744	1650
694	3749	1645
695	3755	1640
696	3761	1635
697	3767	1630
698	3771	1624
699	3777	1618
700	3782	1613
701	3786	1607
702	3791	1601
703	3795	1595
704	3801	1590
705	3807	1585
706	3812	1580
707	3817	1574
708	3823	1569
709	3827	1563
710	3834	1558
711	3840	1553
712	3845	1547
713	3849	1541
714	3854	1536
715	3858	1530
716	3862	1524
717	3870	1520
718	3876	1515
719	3881	1509
720	3886	1503
721	3892	1498
722	3897	1493
723	3900	1486
724	3906	1481
725	3912	1476
726	3916	1470
727	3921	1465
728	3926	1459
729	3931	1454
730	3937	1448
731	3944	1444
732	3948	1438
733	3953	1432
734	3960	1428
735	3965	1422
736	3970	1417
737	3977	1412
738	3983	1406
739	3989	1401
740	3995	1396
741	4001	1391
742	4007	1386
743	4013	1381
744	4020	1376
745	4027	1371
746	4032	1365
747	4038	1360
748	4045	1355
749	4052	1350
750	4058	1345
751	4065	1340
752	4071	1335
753	4076	1330
754	4083	1325
755	4090	1320
756	4096	1314
757	4102	1309
758	4109	1304
759	4115	1299
760	4121	1294
761	4127	1289
762	4132	1283
763	4137	1278
764	4142	1272
765	4147	1266
766	4153	1261
767	4159	1256
768	4164	1250
769	4169	1245
770	4174	1239
771	4180	1234
772	4185	1228
773	4189	1223
774	4193	1217
775	4197	1211
776	4203	1206
777	4207	1200
778	4213	1195
779	4220	1190
780	4224	1184
781	4228	1178
782	4236	1173
783	4241	1168
784	4249	1163
785	4254	1158
786	4260	1153
787	4267	1147
788	4271	1142
789	4276	1136
790	4282	1131
791	4287	1125
792	4294	1121
793	4299	1115
794	4303	1109
795	4309	1104
796	4315	1099
797	4321	1093
798	4326	1088
799	4331	1082
800	4338	1077
801	4343	1072
802	4350	1067
803	4356	1062
804	4362	1056
805	4369	1051
806	4375	1046
807	4380	1040
808	4385	1035
809	4391	1030
810	4397	1024
811	4403	1019
812	4410	1014
813	4414	1008
814	4420	1003
815	4426	998
816	4438	994
817	4452	990
818	4464	986
819	4477	982
820	4502	981
821	4521	979
822	4531	974
823	4536	969
824	4545	964
825	4550	958
826	4556	953
827	4561	947
828	4566	941
829	4572	936
830	4576	930
831	4580	924
832	4586	919
833	4590	913
834	4595	908
835	4602	902
836	4607	897
837	4612	891
838	4617	886
839	4622	880
840	4627	874
841	4633	869
842	4637	863
843	4641	857
844	4646	852
845	4650	846
846	4656	841
847	4662	835
848	4667	830
849	4672	824
850	4678	819
851	4684	813
852	4688	807
853	4692	802
854	4697	796
855	4701	790
856	4705	785
857	4710	779
858	4714	773
859	4719	768
860	4724	762
861	4729	757
862	4733	751
863	4739	745
864	4743	740
865	4748	734
866	4753	729
867	4757	723
868	4763	718
869	4768	712
870	4773	707
871	4779	701
872	4787	696
873	4793	691
874	4800	685
875	4804	680
876	4809	674
877	4815	669
878	4820	663
879	4823	657
880	4829	652
881	4835	646
882	4841	641
883	4846	636
884	4851	630
885	4856	624
886	4861	619
887	4865	613
888	4870	608
889	4877	602
890	4883	597
891	4889	592
892	4894	586
893	4898	580
894	4904	575
895	4908	569
896	4914	564
897	4919	558
898	4925	553
899	4929	547
900	4934	542
901	4938	536
902	4943	531
903	4949	525
904	4954	520
905	4958	514
906	4963	508
907	4968	503
908	4974	497
909	4978	492
910	4983	486
911	4988	481
912	4995	475
913	5001	470
914	5007	465
915	5013	459
916	5019	454
917	5024	448
918	5029	443
919	5034	437
920	5040	432
921	5045	426
922	5051	421
923	5057	415
924	5062	410
925	5069	405
926	5075	399
927	5081	394
928	5088	388
929	5093	383
930	5100	378
931	5107	372
932	5112	367
933	5118	361
934	5124	356
935	5130	350
936	5135	345
937	5141	339
938	5147	334
939	5153	328
940	5159	323
941	5165	318
942	5171	312
943	5178	307
944	5184	301
945	5191	296
946	5197	290
947	5202	285
948	5208	279
949	5212	274
950	5217	268
951	5223	263
952	5228	257
953	5233	252
954	5238	246
955	5244	241
956	5251	235
957	5256	230
958	5262	225
959	5268	219
960	5273	214
961	5278	208
962	5285	203
963	5290	197
964	5297	192
965	5303	186
966	5308	181
967	5314	175
968	5320	170
969	5326	164
970	5331	159
971	5337	153
972	5343	148
973	5348	142
974	5355	137
975	5362	131
976	5367	126
977	5374	120
978	5379	115
979	5384	109
980	5390	104
981	5395	98
982	5400	93
983	5405	87
984	5410	82
985	5413	76
986	5421	71
987	5425	65
988	5431	60
989	5437	54
990	5442	49
991	5446	43
992	5453	38
993	5457	32
994	5461	27
995	5466	21
996	5471	16
997	5476	10
998	5482	5
999	5487	0
